edge_id,from,from_url,relation,to,to_url,confidence,evidence
e017,html-aam-1.0,https://www.w3.org/TR/html-aam-1.0/,implements_mapping_for,html-living-standard,https://html.spec.whatwg.org/multipage/,high,HTML AAM maps HTML semantics to accessibility APIs.
e018,core-aam-1.2,https://www.w3.org/TR/core-aam-1.2/,implements_mapping_for,wai-aria-1.2,https://www.w3.org/TR/wai-aria-1.2/,high,Core AAM maps ARIA roles/states/properties to accessibility APIs.
e019,accname-1.2,https://www.w3.org/TR/accname-1.2/,supports_outcome_for,wai-aria-1.2,https://www.w3.org/TR/wai-aria-1.2/,high,Accessible name/description computation underpins ARIA and host language mappings.
e020,html-living-standard,https://html.spec.whatwg.org/multipage/,supports_outcome_for,wcag-2.2,https://www.w3.org/TR/WCAG22/,medium,HTML semantics and interaction behaviors enable WCAG conformance outcomes.
e021,w3c-css-overview,https://www.w3.org/Style/CSS/Overview.en.html,supports_outcome_for,wcag-2.2,https://www.w3.org/TR/WCAG22/,medium,"CSS presentation/interaction modules influence contrast, reflow, focus visibility, and motion."
e022,atag-2.0,https://www.w3.org/TR/ATAG20/,supports_outcome_for,wcag-2.2,https://www.w3.org/TR/WCAG22/,medium,ATAG output requirements align with web content accessibility outcomes.
e023,uaag-2.0,https://www.w3.org/TR/UAAG20/,supports_outcome_for,wcag-2.2,https://www.w3.org/TR/WCAG22/,medium,User agent accessibility behavior supports perceivable/operable WCAG outcomes.
e024,standards-link-graph,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/standards-link-graph.yaml,catalogs,w3c-wai-standards-index,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-standards.yaml,high,graph links to canonical standards index.
e025,standards-link-graph,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/standards-link-graph.yaml,catalogs,w3c-wai-informative-catalog,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-informative-resources.yaml,high,graph links to canonical informative catalog.
e026,standards-link-graph,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/standards-link-graph.yaml,catalogs,atag-to-wcag-2.2-crosswalk,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/atag-to-wcag-2.2-crosswalk.yaml,high,graph links to canonical crosswalk.
e027,standards-link-graph,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/standards-link-graph.yaml,catalogs,css-specifications-index,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/css-specifications-index.yaml,high,graph links to canonical CSS index.
e028,standards-link-graph,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/standards-link-graph.yaml,catalogs,html-living-standard-accessibility,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/html-living-standard-accessibility.yaml,high,graph links to canonical HTML index.
e029,w3c-wai-informative-catalog,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-informative-resources.yaml,catalogs,act-rules-catalog,https://www.w3.org/WAI/standards-guidelines/act/rules/,high,informative catalog includes ACT rules catalog reference.
e030,w3c-wai-informative-catalog,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-informative-resources.yaml,catalogs,deque-axe-rules-4.11,https://dequeuniversity.com/rules/axe/html/4.11,high,informative catalog includes Deque axe rules catalog reference.
e031,w3c-wai-informative-catalog,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/w3c-wai-informative-resources.yaml,catalogs,siteimprove-alfa-rules,https://alfa.siteimprove.com/rules,high,informative catalog includes Siteimprove Alfa rules catalog reference.
e032,accessibility-rule-catalogs,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/accessibility-rule-catalogs.yaml,catalogs,act-rules-catalog,https://www.w3.org/WAI/standards-guidelines/act/rules/,high,machine-readable rules dataset catalogs ACT rule URLs and states.
e033,accessibility-rule-catalogs,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/accessibility-rule-catalogs.yaml,catalogs,deque-axe-rules-4.11,https://dequeuniversity.com/rules/axe/html/4.11,high,machine-readable rules dataset catalogs axe-core rule URLs.
e034,accessibility-rule-catalogs,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/accessibility-rule-catalogs.yaml,catalogs,siteimprove-alfa-rules,https://alfa.siteimprove.com/rules,high,machine-readable rules dataset catalogs Alfa rule URLs.
e035,act-rules-catalog,https://www.w3.org/WAI/standards-guidelines/act/rules/,supports_outcome_for,wcag-2.2,https://www.w3.org/TR/WCAG22/,medium,ACT rules operationalize WCAG test logic used by accessibility tools.
e036,deque-axe-rules-4.11,https://dequeuniversity.com/rules/axe/html/4.11,supports_outcome_for,wcag-2.2,https://www.w3.org/TR/WCAG22/,medium,axe-core rule set maps checks to WCAG-oriented outcomes.
e037,siteimprove-alfa-rules,https://alfa.siteimprove.com/rules,supports_outcome_for,wcag-2.2,https://www.w3.org/TR/WCAG22/,medium,Alfa rule set maps checks to WCAG-oriented outcomes.
e038,standards-link-graph,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/standards-link-graph.yaml,catalogs,accessibility-rule-catalogs,https://github.com/mgifford/wai-yaml-ld/blob/main/kitty-specs/001-wai-standards-yaml-ld-ingestion/research/accessibility-rule-catalogs.yaml,high,graph links to canonical machine-readable ACT/axe/Alfa rules dataset.
